cit_2017,cit_2018,cit_2019,cit_2020,cit_2021,cit_2022,Actual_label,Predicted_label
105.0,127.0,80.0,95.0,91.0,84.0,0.0,
292.0,510.0,672.0,928.0,1289.0,1456.0,1.0,
125.0,143.0,190.0,234.0,291.0,275.0,0.0,
192.0,206.0,189.0,208.0,213.0,253.0,2.0,
46.0,76.0,75.0,67.0,59.0,58.0,0.0,0.0
92.0,107.0,137.0,92.0,98.0,121.0,2.0,
701.0,683.0,773.0,813.0,1023.0,1039.0,0.0,
259.0,248.0,177.0,149.0,167.0,151.0,0.0,
255.0,238.0,204.0,194.0,184.0,155.0,0.0,
100.0,109.0,170.0,169.0,148.0,184.0,2.0,
823.0,723.0,794.0,795.0,762.0,682.0,0.0,
861.0,886.0,715.0,699.0,657.0,601.0,0.0,
3.0,3.0,21.0,54.0,72.0,124.0,2.0,
90.0,83.0,107.0,94.0,131.0,262.0,2.0,
48.0,54.0,40.0,45.0,43.0,40.0,0.0,
628.0,766.0,1032.0,1146.0,1652.0,2043.0,2.0,
3.0,11.0,15.0,30.0,41.0,83.0,2.0,0.0
87.0,92.0,87.0,73.0,93.0,93.0,0.0,
482.0,744.0,941.0,1128.0,1439.0,2451.0,2.0,
197.0,221.0,230.0,247.0,254.0,209.0,0.0,
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,0.0
,,,,,,,2.0
,,,,,,,0.0
